表層形, 品詞, 品詞細分類1, 品詞細分類2, 品詞細分類3, 活用型, 活用形, 原形, 読み, 発音
メロス,名詞,一般,*,*,*,*,メロス,*,*
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
激怒,名詞,サ変接続,*,*,*,*,激怒,ゲキド,ゲキド
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。,記号,句点,*,*,*,*,。,。,。
必ず,副詞,助詞類接続,*,*,*,*,必ず,カナラズ,カナラズ
、,記号,読点,*,*,*,*,、,、,、
かの,連体詞,*,*,*,*,*,かの,カノ,カノ
邪智,名詞,一般,*,*,*,*,邪智,ジャチ,ジャチ
暴虐,名詞,一般,*,*,*,*,暴虐,ボウギャク,ボーギャク
の,助詞,連体化,*,*,*,*,の,ノ,ノ
王,名詞,一般,*,*,*,*,王,オウ,オー
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
除か,動詞,自立,*,*,五段・カ行イ音便,未然形,除く,ノゾカ,ノゾカ
なけれ,助動詞,*,*,*,特殊・ナイ,仮定形,ない,ナケレ,ナケレ
ば,助詞,接続助詞,*,*,*,*,ば,バ,バ
なら,動詞,非自立,*,*,五段・ラ行,未然形,なる,ナラ,ナラ
ぬ,助動詞,*,*,*,特殊・ヌ,基本形,ぬ,ヌ,ヌ
と,助詞,格助詞,引用,*,*,*,と,ト,ト
決意,名詞,サ変接続,*,*,*,*,決意,ケツイ,ケツイ
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。,記号,句点,*,*,*,*,。,。,。
メロス,名詞,一般,*,*,*,*,メロス,*,*
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
政治,名詞,一般,*,*,*,*,政治,セイジ,セイジ
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ
わから,動詞,自立,*,*,五段・ラ行,未然形,わかる,ワカラ,ワカラ
ぬ,助動詞,*,*,*,特殊・ヌ,基本形,ぬ,ヌ,ヌ
。,記号,句点,*,*,*,*,。,。,。
メロス,名詞,一般,*,*,*,*,メロス,*,*
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
、,記号,読点,*,*,*,*,、,、,、
村,名詞,一般,*,*,*,*,村,ムラ,ムラ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
牧人,名詞,一般,*,*,*,*,牧人,ボクジン,ボクジン
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
ある,助動詞,*,*,*,五段・ラ行アル,基本形,ある,アル,アル
。,記号,句点,*,*,*,*,。,。,。
笛,名詞,一般,*,*,*,*,笛,フエ,フエ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
吹き,動詞,自立,*,*,五段・カ行イ音便,連用形,吹く,フキ,フキ
、,記号,読点,*,*,*,*,、,、,、
羊,名詞,一般,*,*,*,*,羊,ヒツジ,ヒツジ
と,助詞,格助詞,一般,*,*,*,と,ト,ト
遊ん,動詞,自立,*,*,五段・バ行,連用タ接続,遊ぶ,アソン,アソン
で,助詞,接続助詞,*,*,*,*,で,デ,デ
暮し,動詞,自立,*,*,五段・サ行,連用形,暮す,クラシ,クラシ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
来,動詞,非自立,*,*,カ変・来ル,連用形,来る,キ,キ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。,記号,句点,*,*,*,*,。,。,。
けれども,接続詞,*,*,*,*,*,けれども,ケレドモ,ケレドモ
邪悪,名詞,形容動詞語幹,*,*,*,*,邪悪,ジャアク,ジャアク
に対して,助詞,格助詞,連語,*,*,*,に対して,ニタイシテ,ニタイシテ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
、,記号,読点,*,*,*,*,、,、,、
人一倍,名詞,形容動詞語幹,*,*,*,*,人一倍,ヒトイチバイ,ヒトイチバイ
に,助詞,副詞化,*,*,*,*,に,ニ,ニ
敏感,名詞,形容動詞語幹,*,*,*,*,敏感,ビンカン,ビンカン
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
あっ,助動詞,*,*,*,五段・ラ行アル,連用タ接続,ある,アッ,アッ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。,記号,句点,*,*,*,*,。,。,。
きょう,名詞,副詞可能,*,*,*,*,きょう,キョウ,キョー
未明,名詞,副詞可能,*,*,*,*,未明,ミメイ,ミメイ
メロス,名詞,一般,*,*,*,*,メロス,*,*
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
村,名詞,一般,*,*,*,*,村,ムラ,ムラ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
出発,名詞,サ変接続,*,*,*,*,出発,シュッパツ,シュッパツ
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
、,記号,読点,*,*,*,*,、,、,、
野,名詞,一般,*,*,*,*,野,ノ,ノ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
越え,動詞,自立,*,*,一段,連用形,越える,コエ,コエ
山越え,名詞,一般,*,*,*,*,山越え,ヤマゴエ,ヤマゴエ
、,記号,読点,*,*,*,*,、,、,、
十,名詞,数,*,*,*,*,十,ジュウ,ジュー
里,名詞,一般,*,*,*,*,里,サト,サト
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
なれ,動詞,自立,*,*,一段,連用形,なれる,ナレ,ナレ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
此,名詞,一般,*,*,*,*,此,*,*
の,助詞,連体化,*,*,*,*,の,ノ,ノ
シラクス,名詞,一般,*,*,*,*,シラクス,*,*
の,助詞,連体化,*,*,*,*,の,ノ,ノ
市,名詞,一般,*,*,*,*,市,シ,シ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
やって来,動詞,自立,*,*,カ変・来ル,連用形,やって来る,ヤッテキ,ヤッテキ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。,記号,句点,*,*,*,*,。,。,。
メロス,名詞,一般,*,*,*,*,メロス,*,*
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
父,名詞,一般,*,*,*,*,父,チチ,チチ
も,助詞,係助詞,*,*,*,*,も,モ,モ
、,記号,読点,*,*,*,*,、,、,、
母,名詞,一般,*,*,*,*,母,ハハ,ハハ
も,助詞,係助詞,*,*,*,*,も,モ,モ
無い,形容詞,自立,*,*,形容詞・アウオ段,基本形,無い,ナイ,ナイ
。,記号,句点,*,*,*,*,。,。,。
女房,名詞,一般,*,*,*,*,女房,ニョウボウ,ニョーボー
も,助詞,係助詞,*,*,*,*,も,モ,モ
無い,形容詞,自立,*,*,形容詞・アウオ段,基本形,無い,ナイ,ナイ
。,記号,句点,*,*,*,*,。,。,。
十,名詞,数,*,*,*,*,十,ジュウ,ジュー
六,名詞,数,*,*,*,*,六,ロク,ロク
の,助詞,連体化,*,*,*,*,の,ノ,ノ
、,記号,読点,*,*,*,*,、,、,、
内気,名詞,形容動詞語幹,*,*,*,*,内気,ウチキ,ウチキ
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
妹,名詞,一般,*,*,*,*,妹,イモウト,イモート
と,助詞,並立助詞,*,*,*,*,と,ト,ト
二,名詞,数,*,*,*,*,二,ニ,ニ
人,名詞,接尾,助数詞,*,*,*,人,ニン,ニン
暮し,名詞,一般,*,*,*,*,暮し,クラシ,クラシ
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ
。,記号,句点,*,*,*,*,。,。,。
この,連体詞,*,*,*,*,*,この,コノ,コノ
妹,名詞,一般,*,*,*,*,妹,イモウト,イモート
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
、,記号,読点,*,*,*,*,、,、,、
村,名詞,一般,*,*,*,*,村,ムラ,ムラ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
或,連体詞,*,*,*,*,*,或,アル,アル
る,助動詞,*,*,*,文語・リ,体言接続,り,ル,ル
律,名詞,一般,*,*,*,*,律,リツ,リツ
気,名詞,接尾,形容動詞語幹,*,*,*,気,ゲ,ゲ
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
一,名詞,数,*,*,*,*,一,イチ,イチ
牧人,名詞,一般,*,*,*,*,牧人,ボクジン,ボクジン
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
、,記号,読点,*,*,*,*,、,、,、
近々,副詞,一般,*,*,*,*,近々,チカヂカ,チカジカ
、,記号,読点,*,*,*,*,、,、,、
花婿,名詞,一般,*,*,*,*,花婿,ハナムコ,ハナムコ
として,助詞,格助詞,連語,*,*,*,として,トシテ,トシテ
迎える,動詞,自立,*,*,一段,基本形,迎える,ムカエル,ムカエル
事,名詞,非自立,一般,*,*,*,事,コト,コト
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
なっ,動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。,記号,句点,*,*,*,*,。,。,。
結婚式,名詞,一般,*,*,*,*,結婚式,ケッコンシキ,ケッコンシキ
も,助詞,係助詞,*,*,*,*,も,モ,モ
間近,名詞,副詞可能,*,*,*,*,間近,マヂカ,マジカ
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
な,助詞,終助詞,*,*,*,*,な,ナ,ナ
の,名詞,非自立,一般,*,*,*,の,ノ,ノ
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
ある,助動詞,*,*,*,五段・ラ行アル,基本形,ある,アル,アル
。,記号,句点,*,*,*,*,。,。,。
メロス,名詞,一般,*,*,*,*,メロス,*,*
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
、,記号,読点,*,*,*,*,、,、,、
それ,名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ
ゆえ,名詞,接尾,一般,*,*,*,ゆえ,ユエ,ユエ
、,記号,読点,*,*,*,*,、,、,、
花嫁,名詞,一般,*,*,*,*,花嫁,ハナヨメ,ハナヨメ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
衣裳,名詞,一般,*,*,*,*,衣裳,イショウ,イショー
やら,助詞,並立助詞,*,*,*,*,やら,ヤラ,ヤラ
祝宴,名詞,一般,*,*,*,*,祝宴,シュクエン,シュクエン
の,助詞,連体化,*,*,*,*,の,ノ,ノ
御馳走,名詞,サ変接続,*,*,*,*,御馳走,ゴチソウ,ゴチソー
やら,助詞,副助詞,*,*,*,*,やら,ヤラ,ヤラ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
買い,動詞,自立,*,*,五段・ワ行促音便,連用形,買う,カイ,カイ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
、,記号,読点,*,*,*,*,、,、,、
はるばる,副詞,一般,*,*,*,*,はるばる,ハルバル,ハルバル
市,名詞,一般,*,*,*,*,市,シ,シ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
やって来,動詞,自立,*,*,カ変・来ル,連用形,やって来る,ヤッテキ,ヤッテキ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
の,名詞,非自立,一般,*,*,*,の,ノ,ノ
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ
。,記号,句点,*,*,*,*,。,。,。
先ず,副詞,一般,*,*,*,*,先ず,マズ,マズ
、,記号,読点,*,*,*,*,、,、,、
その,連体詞,*,*,*,*,*,その,ソノ,ソノ
品々,名詞,一般,*,*,*,*,品々,シナジナ,シナジナ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
買い,動詞,自立,*,*,五段・ワ行促音便,連用形,買う,カイ,カイ
集め,動詞,自立,*,*,一段,連用形,集める,アツメ,アツメ
、,記号,読点,*,*,*,*,、,、,、
それから,接続詞,*,*,*,*,*,それから,ソレカラ,ソレカラ
都,名詞,一般,*,*,*,*,都,ト,ト
の,助詞,連体化,*,*,*,*,の,ノ,ノ
大路,名詞,一般,*,*,*,*,大路,オオジ,オージ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
ぶらぶら,副詞,一般,*,*,*,*,ぶらぶら,ブラブラ,ブラブラ
歩い,動詞,自立,*,*,五段・カ行イ音便,連用タ接続,歩く,アルイ,アルイ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。,記号,句点,*,*,*,*,。,。,。
メロス,名詞,一般,*,*,*,*,メロス,*,*
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
竹馬,名詞,一般,*,*,*,*,竹馬,チクバ,チクバ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
友,名詞,一般,*,*,*,*,友,トモ,トモ
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ
あっ,動詞,自立,*,*,五段・ラ行,連用タ接続,ある,アッ,アッ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。,記号,句点,*,*,*,*,。,。,。
セリヌンティウス,名詞,一般,*,*,*,*,セリヌンティウス,*,*
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
ある,助動詞,*,*,*,五段・ラ行アル,基本形,ある,アル,アル
。,記号,句点,*,*,*,*,。,。,。
今,名詞,副詞可能,*,*,*,*,今,イマ,イマ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
此,名詞,一般,*,*,*,*,此,*,*
の,助詞,連体化,*,*,*,*,の,ノ,ノ
シラクス,名詞,一般,*,*,*,*,シラクス,*,*
の,助詞,連体化,*,*,*,*,の,ノ,ノ
市,名詞,一般,*,*,*,*,市,シ,シ
で,助詞,格助詞,一般,*,*,*,で,デ,デ
、,記号,読点,*,*,*,*,、,、,、
石工,名詞,一般,*,*,*,*,石工,セッコウ,セッコー
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
いる,動詞,非自立,*,*,一段,基本形,いる,イル,イル
。,記号,句点,*,*,*,*,。,。,。
その,連体詞,*,*,*,*,*,その,ソノ,ソノ
友,名詞,一般,*,*,*,*,友,トモ,トモ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
、,記号,読点,*,*,*,*,、,、,、
これから,副詞,助詞類接続,*,*,*,*,これから,コレカラ,コレカラ
訪ね,動詞,自立,*,*,一段,連用形,訪ねる,タズネ,タズネ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
みる,動詞,非自立,*,*,一段,基本形,みる,ミル,ミル
つもり,名詞,非自立,一般,*,*,*,つもり,ツモリ,ツモリ
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
の,名詞,非自立,一般,*,*,*,の,ノ,ノ
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ
。,記号,句点,*,*,*,*,。,。,。
久しく,形容詞,自立,*,*,形容詞・イ段,連用テ接続,久しい,ヒサシク,ヒサシク
逢わ,動詞,自立,*,*,五段・ワ行促音便,未然形,逢う,アワ,アワ
なかっ,助動詞,*,*,*,特殊・ナイ,連用タ接続,ない,ナカッ,ナカッ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
の,名詞,非自立,一般,*,*,*,の,ノ,ノ
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ
から,助詞,接続助詞,*,*,*,*,から,カラ,カラ
、,記号,読点,*,*,*,*,、,、,、
訪ね,動詞,自立,*,*,一段,連用形,訪ねる,タズネ,タズネ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
行く,動詞,非自立,*,*,五段・カ行促音便,基本形,行く,イク,イク
の,名詞,非自立,一般,*,*,*,の,ノ,ノ
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ
楽しみ,名詞,一般,*,*,*,*,楽しみ,タノシミ,タノシミ
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
ある,助動詞,*,*,*,五段・ラ行アル,基本形,ある,アル,アル
。,記号,句点,*,*,*,*,。,。,。
歩い,動詞,自立,*,*,五段・カ行イ音便,連用タ接続,歩く,アルイ,アルイ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
いる,動詞,非自立,*,*,一段,基本形,いる,イル,イル
うち,名詞,非自立,副詞可能,*,*,*,うち,ウチ,ウチ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
メロス,名詞,一般,*,*,*,*,メロス,*,*
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
、,記号,読点,*,*,*,*,、,、,、
まち,名詞,一般,*,*,*,*,まち,マチ,マチ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
様子,名詞,一般,*,*,*,*,様子,ヨウス,ヨース
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
怪しく,形容詞,自立,*,*,形容詞・イ段,連用テ接続,怪しい,アヤシク,アヤシク
思っ,動詞,自立,*,*,五段・ワ行促音便,連用タ接続,思う,オモッ,オモッ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。,記号,句点,*,*,*,*,。,。,。
ひっそり,副詞,助詞類接続,*,*,*,*,ひっそり,ヒッソリ,ヒッソリ
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
いる,動詞,非自立,*,*,一段,基本形,いる,イル,イル
。,記号,句点,*,*,*,*,。,。,。
もう,副詞,一般,*,*,*,*,もう,モウ,モー
既に,副詞,一般,*,*,*,*,既に,スデニ,スデニ
日,名詞,一般,*,*,*,*,日,ヒ,ヒ
も,助詞,係助詞,*,*,*,*,も,モ,モ
落ち,動詞,自立,*,*,一段,連用形,落ちる,オチ,オチ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
、,記号,読点,*,*,*,*,、,、,、
まち,名詞,一般,*,*,*,*,まち,マチ,マチ
の,助詞,格助詞,一般,*,*,*,の,ノ,ノ
暗い,形容詞,自立,*,*,形容詞・アウオ段,基本形,暗い,クライ,クライ
の,名詞,非自立,一般,*,*,*,の,ノ,ノ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
当り,動詞,自立,*,*,五段・ラ行,連用形,当る,アタリ,アタリ
まえ,動詞,自立,*,*,一段,連用形,まえる,マエ,マエ
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ
が,助詞,接続助詞,*,*,*,*,が,ガ,ガ
、,記号,読点,*,*,*,*,、,、,、
けれども,接続詞,*,*,*,*,*,けれども,ケレドモ,ケレドモ
、,記号,読点,*,*,*,*,、,、,、
なんだか,副詞,一般,*,*,*,*,なんだか,ナンダカ,ナンダカ
、,記号,読点,*,*,*,*,、,、,、
夜,名詞,副詞可能,*,*,*,*,夜,ヨル,ヨル
の,助詞,連体化,*,*,*,*,の,ノ,ノ
せい,名詞,非自立,一般,*,*,*,せい,セイ,セイ
ばかり,助詞,副助詞,*,*,*,*,ばかり,バカリ,バカリ
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
無く,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,無い,ナク,ナク
、,記号,読点,*,*,*,*,、,、,、
市,名詞,一般,*,*,*,*,市,シ,シ
全体,名詞,副詞可能,*,*,*,*,全体,ゼンタイ,ゼンタイ
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ
、,記号,読点,*,*,*,*,、,、,、
やけに,副詞,一般,*,*,*,*,やけに,ヤケニ,ヤケニ
寂しい,形容詞,自立,*,*,形容詞・イ段,基本形,寂しい,サビシイ,サビシイ
。,記号,句点,*,*,*,*,。,。,。
のんき,名詞,形容動詞語幹,*,*,*,*,のんき,ノンキ,ノンキ
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
メロス,名詞,一般,*,*,*,*,メロス,*,*
も,助詞,係助詞,*,*,*,*,も,モ,モ
、,記号,読点,*,*,*,*,、,、,、
だんだん,副詞,助詞類接続,*,*,*,*,だんだん,ダンダン,ダンダン
不安,名詞,形容動詞語幹,*,*,*,*,不安,フアン,フアン
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
なっ,動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
来,動詞,非自立,*,*,カ変・来ル,連用形,来る,キ,キ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。,記号,句点,*,*,*,*,。,。,。
路,名詞,一般,*,*,*,*,路,ミチ,ミチ
で,助詞,格助詞,一般,*,*,*,で,デ,デ
逢っ,動詞,自立,*,*,五段・ワ行促音便,連用タ接続,逢う,アッ,アッ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
若い衆,名詞,一般,*,*,*,*,若い衆,ワカイシュ,ワカイシュ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
つかまえ,動詞,自立,*,*,一段,連用形,つかまえる,ツカマエ,ツカマエ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
、,記号,読点,*,*,*,*,、,、,、
何,名詞,代名詞,一般,*,*,*,何,ナニ,ナニ
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
あっ,動詞,自立,*,*,五段・ラ行,連用タ接続,ある,アッ,アッ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
の,名詞,非自立,一般,*,*,*,の,ノ,ノ
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
、,記号,読点,*,*,*,*,、,、,、
二,名詞,数,*,*,*,*,二,ニ,ニ
年,名詞,接尾,助数詞,*,*,*,年,ネン,ネン
まえ,動詞,自立,*,*,一段,連用形,まえる,マエ,マエ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
此,名詞,一般,*,*,*,*,此,*,*
の,助詞,連体化,*,*,*,*,の,ノ,ノ
市,名詞,一般,*,*,*,*,市,シ,シ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
来,動詞,自立,*,*,カ変・来ル,連用形,来る,キ,キ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
とき,名詞,非自立,副詞可能,*,*,*,とき,トキ,トキ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
、,記号,読点,*,*,*,*,、,、,、
夜,名詞,副詞可能,*,*,*,*,夜,ヨル,ヨル
でも,助詞,副助詞,*,*,*,*,でも,デモ,デモ
皆,名詞,代名詞,一般,*,*,*,皆,ミナ,ミナ
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ
歌,名詞,一般,*,*,*,*,歌,ウタ,ウタ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
うたっ,動詞,自立,*,*,五段・ワ行促音便,連用タ接続,うたう,ウタッ,ウタッ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
、,記号,読点,*,*,*,*,、,、,、
まち,名詞,一般,*,*,*,*,まち,マチ,マチ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
賑やか,名詞,形容動詞語幹,*,*,*,*,賑やか,ニギヤカ,ニギヤカ
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
あっ,助動詞,*,*,*,五段・ラ行アル,連用タ接続,ある,アッ,アッ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
筈,名詞,非自立,一般,*,*,*,筈,ハズ,ハズ
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ
が,助詞,接続助詞,*,*,*,*,が,ガ,ガ
、,記号,読点,*,*,*,*,、,、,、
と,助詞,格助詞,引用,*,*,*,と,ト,ト
質問,名詞,サ変接続,*,*,*,*,質問,シツモン,シツモン
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。,記号,句点,*,*,*,*,。,。,。
若い衆,名詞,一般,*,*,*,*,若い衆,ワカイシュ,ワカイシュ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
、,記号,読点,*,*,*,*,、,、,、
首,名詞,一般,*,*,*,*,首,クビ,クビ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
振っ,動詞,自立,*,*,五段・ラ行,連用タ接続,振る,フッ,フッ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
答え,動詞,自立,*,*,一段,未然形,答える,コタエ,コタエ
なかっ,助動詞,*,*,*,特殊・ナイ,連用タ接続,ない,ナカッ,ナカッ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。,記号,句点,*,*,*,*,。,。,。
しばらく,副詞,助詞類接続,*,*,*,*,しばらく,シバラク,シバラク
歩い,動詞,自立,*,*,五段・カ行イ音便,連用タ接続,歩く,アルイ,アルイ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
老爺,名詞,一般,*,*,*,*,老爺,ロウヤ,ローヤ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
逢い,動詞,自立,*,*,五段・ワ行促音便,連用形,逢う,アイ,アイ
、,記号,読点,*,*,*,*,、,、,、
こんど,名詞,副詞可能,*,*,*,*,こんど,コンド,コンド
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
もっと,副詞,一般,*,*,*,*,もっと,モット,モット
、,記号,読点,*,*,*,*,、,、,、
語勢,名詞,一般,*,*,*,*,語勢,ゴセイ,ゴセイ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
強く,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,強い,ツヨク,ツヨク
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
質問,名詞,サ変接続,*,*,*,*,質問,シツモン,シツモン
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。,記号,句点,*,*,*,*,。,。,。
老爺,名詞,一般,*,*,*,*,老爺,ロウヤ,ローヤ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
答え,動詞,自立,*,*,一段,未然形,答える,コタエ,コタエ
なかっ,助動詞,*,*,*,特殊・ナイ,連用タ接続,ない,ナカッ,ナカッ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。,記号,句点,*,*,*,*,。,。,。
メロス,名詞,一般,*,*,*,*,メロス,*,*
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
両手,名詞,一般,*,*,*,*,両手,リョウテ,リョーテ
で,助詞,格助詞,一般,*,*,*,で,デ,デ
老爺,名詞,一般,*,*,*,*,老爺,ロウヤ,ローヤ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
からだ,名詞,一般,*,*,*,*,からだ,カラダ,カラダ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
ゆすぶっ,動詞,自立,*,*,五段・ラ行,連用タ接続,ゆすぶる,ユスブッ,ユスブッ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
質問,名詞,サ変接続,*,*,*,*,質問,シツモン,シツモン
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
重ね,動詞,自立,*,*,一段,連用形,重ねる,カサネ,カサネ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。,記号,句点,*,*,*,*,。,。,。
老爺,名詞,一般,*,*,*,*,老爺,ロウヤ,ローヤ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
、,記号,読点,*,*,*,*,、,、,、
あたり,名詞,一般,*,*,*,*,あたり,アタリ,アタリ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
はばかる,動詞,自立,*,*,五段・ラ行,基本形,はばかる,ハバカル,ハバカル
